先知, 卡里·纪伯伦, 天津教育出版社, 2007-8
加缪文集, [法] 阿尔贝·加缪, 译林出版社, 1999-5
维特根斯坦传, [英] 瑞·蒙克, 浙江大学出版社, 2011-6
新华字典（1998年修订本）, 中国社会科学院语言研究所 编, 商务印书馆, 1998-6
我的团长我的团（上部）, 兰晓龙, 新星出版社, 2009-1
社会性动物, Elliot Aronson, 华东师范大学出版社, 2007-12
公正, [美] 迈克尔·桑德尔, 中信出版社, 2011-1-1
设计模式, [美] Erich Gamma / Richard Helm / Ralph Johnson / John Vlissides, 机械工业出版社, 2000-9
人生的智慧, [德]叔本华, 上海人民出版社, 2015-11
什么是数学, [美] R·柯朗 H·罗宾 著 / I·斯图尔特 修订, 复旦大学出版社, 2005-5
三国志（全五册）, [晋] 陈寿 撰 / [宋] 裴松之 注, 中华书局, 2011-10
夹边沟记事, 杨显惠, 花城出版社, 2008-09
明朝那些事儿（1-9）, 当年明月, 中国海关出版社, 2009-4
昨日的世界, [奥] 斯蒂芬·茨威格, 广西师范大学出版社, 2004-5-1
唐诗鉴赏辞典, 萧涤非 / 等, 上海辞书出版社, 1999-11
星空, 幾米, 大塊文化, 2009-5-1
博尔赫斯小说集, [阿根廷] 博尔赫斯, 浙江文艺出版社, 2005-12
江城, [美] 彼得·海斯勒, 上海译文出版社, 2012-1
海的女儿, 安徒生, 上海译文出版社, 1978年6月
福尔摩斯探案全集（上中下）, [英] 阿·柯南道尔, 群众出版社, 1981-8
让爱点亮, 慕容引刀, 上海人民出版社, 2008-5
悉达多, [德] 赫尔曼·黑塞, 上海人民出版社, 2009-3
美国纽约摄影学院摄影教材（上）, 美国纽约摄影学院, 中国摄影出版社, 2000-03
UNIX编程艺术, Eric S. Raymond, 电子工业出版社, 2006-2
追忆似水年华（上下册）, [法国] 马塞尔·普鲁斯特, 译林出版社, 2001-4
忧郁的热带, [法] 列维-斯特劳斯, 生活·读书·新知三联书店, 2005-6
狂热分子, [美] 埃里克·霍弗, 广西师范大学出版社, 2011-6
中国历代政治得失, 钱穆, 生活·读书·新知三联书店, 2001
营销管理, [美] 菲利普·科特勒 / [美] 凯文·莱恩·凯勒, 上海人民出版社, 2006-9
爱心树, 谢尔・希尔弗斯坦, 南海出版公司, 2003-9-1
活着, 余华, 上海文艺出版社, 2004-5
好妈妈胜过好老师, 尹建莉, 作家出版社, 2009-1-1
我在伊朗长大3, [伊朗] 玛赞·莎塔碧, 生活·读书·新知三联书店, 2006-4
父与子全集, [德] 埃·奥·卜劳恩 绘, 中国工人出版社, 2003-4
被爱路过, 慕容引刀, 上海人民出版社, 2007-9
子猫絮语, [日] 莫莉蓟野, 南海出版公司, 2009-5
动物农场, [英] 乔治·奥威尔, 上海译文出版社, 2007-3
沉默的大多数, 王小波, 中国青年出版社, 1997-10
阿狸·梦之城堡, hans, 上海锦绣文章出版社, 2009-1
活着, 余华, 南海出版公司, 1998-5
小王子, [法] 圣埃克苏佩里, 人民文学出版社, 2003-8
白夜行, [日] 东野圭吾, 南海出版公司, 2008-9
东方快车谋杀案, [英] 阿加莎·克里斯蒂, 人民文学出版社, 2006-5
傲慢与偏见, [英] 奥斯丁, 上海译文出版社, 1996-12
我的精神家园, 王小波, 文化艺术出版社, 1997
历史深处的忧虑, 林达, 生活·读书·新知三联书店, 1997-5
经济学原理（上下）, [美] 曼昆, 机械工业出版社, 2003-8
十万个为什么,, 少年儿童出版社, 1962
象棋的故事, [奥] 斯台芬·茨威格, 上海译文出版社, 2007-7
沉默的大多数, 王小波, 北方文艺出版社, 2006-4
嫌疑人X的献身, （日）东野圭吾, 南海出版公司, 2009年11月
全本新注聊斋志异（全三册）, [清] 蒲松龄 著 / 朱其铠 等校注, 人民文学出版社, 1989-9
楚辞, 屈原, 山西古籍出版社, 2003-03-01
2001太空漫游, [英] 阿瑟·克拉克, 上海人民出版社, 2007-11
你一生的故事, [美] 特德·蒋, 四川科学技术出版社, 2005-2
你看起来好像很好吃, 宫西达也, 北京少年儿童出版社, 2004-06
三毛流浪记（全集）, 张乐平, 少年儿童出版社, 1995-10
三毛从军记全集, 张乐平, 同济大学出版社, 1990-1
金色梦乡, [日] 伊坂幸太郎, 译林出版社, 2010-9
寻路中国, [美] 彼得·海斯勒, 上海译文出版社, 2011-1
规训与惩罚, [法] 米歇尔·福柯, 生活·读书·新知三联书店, 2003-1
刀锋, [英]毛姆, 上海译文出版社, 2007-3
父亲的战场, 章东磐, 山西人民出版社, 2009-7
海伯利安, [美] 丹·西蒙斯, 万卷出版公司, 2007-5
大师和玛格丽特, [俄] 布尔加科夫, 人民文学出版社, 2004-06
我也有一个梦想, 林达, 生活·读书·新知三联书店, 2004-08
人间词话, 王国维, 上海古籍出版社, 1998-12-01
聖經,, 中国基督教协会, 1996
传统十论, 秦晖, 复旦大学出版社, 2004-09-01
受戒, 汪曾祺, 北京十月文艺出版社, 2012-7
巨人的陨落, [英] 肯·福莱特, 江苏凤凰文艺出版社, 2016-5-1
大路, 张赞波, 广西师范大学出版社, 2015-11-1
独裁者手册, [美] 布鲁诺·德·梅斯奎塔 / [美] 阿拉斯泰尔·史密斯, 江苏文艺出版社, 2014-5
海洋帝国, [英] 罗杰·克劳利, 社会科学文献出版社·甲骨文, 2014-6
甲骨文, 彼得·海斯勒, 久周出版, 2007-5-7
我是霸王龙, 宫西达也, 北京少年儿童出版社, 2004-06
杀死一只知更鸟, [美] 哈珀·李, 译林出版社, 2012-9
柳如是别传（全三册）, 陈寅恪, 生活·读书·新知三联书店, 2001-1
灯塔, [法] 克里斯多夫·夏布特, 北京联合出版公司·后浪出版公司, 2016-2
